filename,lower,upper,seconds,area
C:\Users\hinde\IdeaProjects\demo\src\main\resources\com\peakintegration\08-11a#01.sp,426.1548913043478,738.3396739130435,0,55.98029643749999
C:\Users\hinde\IdeaProjects\demo\src\main\resources\com\peakintegration\08-11a#02.sp,426.1548913043478,738.3396739130435,134,71.67829804967948
C:\Users\hinde\IdeaProjects\demo\src\main\resources\com\peakintegration\08-11a#03.sp,426.1548913043478,738.3396739130435,272,75.76323875000003
C:\Users\hinde\IdeaProjects\demo\src\main\resources\com\peakintegration\08-11a#04.sp,426.1548913043478,738.3396739130435,410,77.404514400641
C:\Users\hinde\IdeaProjects\demo\src\main\resources\com\peakintegration\08-11a#05.sp,426.1548913043478,738.3396739130435,548,78.02302080769232
C:\Users\hinde\IdeaProjects\demo\src\main\resources\com\peakintegration\08-11a#06.sp,426.1548913043478,738.3396739130435,686,78.42417786698715
C:\Users\hinde\IdeaProjects\demo\src\main\resources\com\peakintegration\08-11a#07.sp,426.1548913043478,738.3396739130435,824,78.41754003365388
C:\Users\hinde\IdeaProjects\demo\src\main\resources\com\peakintegration\08-11a#08.sp,426.1548913043478,738.3396739130435,962,78.32688618750008
C:\Users\hinde\IdeaProjects\demo\src\main\resources\com\peakintegration\08-11a#09.sp,426.1548913043478,738.3396739130435,1100,78.29993587820502
C:\Users\hinde\IdeaProjects\demo\src\main\resources\com\peakintegration\08-11a#10.sp,426.1548913043478,738.3396739130435,1235,77.9850224054487
